Section,Division,Group,Class,Type,Code,Name_en
"A","","","","","A","AGRICULTURE, FORESTRY AND FISHING"
"","","243","","","243","Manufacture of other products of first processing of steel"
"","","","2431","","2431","Cold drawing of bars"
"","","","","243100","243100","Cold drawing of bars"
"","","","2432","","2432","Cold rolling of narrow strip"
"","","","","243200","243200","Cold rolling of narrow strip"
"","","","2433","","2433","Cold forming or folding"
"","","","","243300","243300","Cold forming or folding"
"","","","2434","","2434","Cold drawing of wire"
"","","","","243400","243400","Cold drawing of wire"
"","","244","","","244","Manufacture of basic precious and other non-ferrous metals"
"","","","2441","","2441","Precious metals production"
"","","","","244100","244100","Precious metals production"
"","","","2442","","2442","Aluminium production"
"","","","","244200","244200","Aluminium production"
"","","","2443","","2443","Lead, zinc and tin production"
"","","","","244300","244300","Lead, zinc and tin production"
"","","","2444","","2444","Copper production"
"","","","","244400","244400","Copper production"
"","","","2445","","2445","Other non-ferrous metal production"
"","","","","244500","244500","Other non-ferrous metal production"
"","","","2446","","2446","Processing of nuclear fuel"
"","","","","244600","244600","Processing of nuclear fuel"
"","","245","","","245","Casting of metals"
"","","","2451","","2451","Casting of iron"
"","","","","245100","245100","Casting of iron"
"","","","2452","","2452","Casting of steel"
"","","","","245200","245200","Casting of steel"
"","","","2453","","2453","Casting of light metals"
"","","","","245300","245300","Casting of light metals"
"","","","2454","","2454","Casting of other non-ferrous metals"
"","","","","245400","245400","Casting of other non-ferrous metals"
"","25","","","","25","Manufacture of fabricated metal products, except machinery and equipment"
"","","251","","","251","Manufacture of structural metal products"
"","","","2511","","2511","Manufacture of metal structures and parts of structures"
"","","","","251100","251100","Manufacture of metal structures and parts of structures"
"","","","2512","","2512","Manufacture of doors and windows of metal"
"","","","","251200","251200","Manufacture of doors and windows of metal"
"","","252","","","252","Manufacture of tanks, reservoirs and containers of metal"
"","","","2521","","2521","Manufacture of central heating radiators and boilers"
"","","","","252100","252100","Manufacture of central heating radiators and boilers"
"","","","2529","","2529","Manufacture of other tanks, reservoirs and containers of metal"
