Sezione,Divisione,Gruppo,,Genere,Code,Name_it
"A","","","","","A","AGRICOLTURA, SILVICOLTURA E PESCA"
"","23","","","","23","Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi"
"","","231","","","231","Fabbricazione di vetro e di prodotti in vetro"
"","","","2311","","2311","Fabbricazione di vetro piano"
"","","","","231100","231100","Fabbricazione di vetro piano"
"","","","2312","","2312","Lavorazione e trasformazione del vetro piano"
"","","","","231200","231200","Lavorazione e trasformazione del vetro piano"
"","","","2313","","2313","Fabbricazione di vetro cavo"
"","","","","231300","231300","Fabbricazione di vetro cavo"
"","","","2314","","2314","Fabbricazione di fibre di vetro"
"","","","","231400","231400","Fabbricazione di fibre di vetro"
"","","","2319","","2319","Fabbricazione e lavorazione di altro vetro incluso il vetro per usi tecnici"
"","","","","231900","231900","Fabbricazione e lavorazione di altro vetro incluso il vetro per usi tecnici"
"","","232","","","232","Fabbricazione di prodotti refrattari"
"","","","2320","","2320","Fabbricazione di prodotti refrattari"
"","","","","232000","232000","Fabbricazione di prodotti refrattari"
"","","233","","","233","Fabbricazione di materiali da costruzione in terracotta"
"","","","2331","","2331","Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti"
"","","","","233100","233100","Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti"
"","","","2332","","2332","Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta"
"","","","","233200","233200","Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta"
"","","234","","","234","Fabbricazione di altri prodotti in porcellana e in ceramica"
"","","","2341","","2341","Fabbricazione di prodotti in ceramica per usi domestici e ornamentali"
